['51 CHRISTOPHER AVENUE', 'BROOKLYN', {u'lat': 40.67243029999999, u'lng': -73.9062459}]
['1224 PARK PLACE', 'BROOKLYN', {u'lat': 40.6726919, u'lng': -73.9368714}]
['130 ROCHESTER AVENUE', 'BROOKLYN', {u'lat': 40.67405100000001, u'lng': -73.92784999999999}]
['141 MACON STREET', 'BROOKLYN', {u'lat': 40.68178289999999, u'lng': -73.94571069999999}]
['227 STERLING PLACE', 'BROOKLYN', {u'lat': 40.6759296, u'lng': -73.9695412}]
['521 WEST AVENUE', 'BROOKLYN', {u'lat': 40.5824541, u'lng': -73.9731615}]
['111 BERRIMAN STREET', 'BROOKLYN', {u'lat': 40.676124, u'lng': -73.88032869999999}]
['1400 PENNSYLVANIA AVENUE', 'BROOKLYN', {u'lat': 40.6468388, u'lng': -73.881661}]
['35 STARR STREET', 'BROOKLYN', {u'lat': 40.7008178, u'lng': -73.9275874}]
['2630 BENSON AVENUE', 'BROOKLYN', {u'lat': 40.5935726, u'lng': -73.985987}]
['35 STARR STREET', 'BROOKLYN', {u'lat': 40.7008178, u'lng': -73.9275874}]
['49 FLATBUSH AVENUE EXTENSION', 'BROOKLYN', {u'lat': 40.697313, u'lng': -73.9846925}]
['46 MCKEEVER PLACE', 'BROOKLYN', {u'lat': 40.6650015, u'lng': -73.9590369}]
['750 CLASSON AVENUE', 'BROOKLYN', {u'lat': 40.6742826, u'lng': -73.9603013}]
['1224 PARK PLACE', 'BROOKLYN', {u'lat': 40.6726919, u'lng': -73.9368714}]
['157 WILSON STREET', 'BROOKLYN', {u'lat': 40.7058107, u'lng': -73.962046}]
['790 EAST NEW YORK AVENUE', 'BROOKLYN', {u'lat': 40.6624725, u'lng': -73.93595410000002}]
['1224 PARK PLACE', 'BROOKLYN', {u'lat': 40.6726919, u'lng': -73.9368714}]
['557 PENNSYLVANIA AVENUE', 'BROOKLYN', {u'lat': 40.6635217, u'lng': -73.8937024}]
['300 WYONA STREET', 'BROOKLYN', {u'lat': 40.6714902, u'lng': -73.89285199999999}]
['3109 NEWKIRK AVENUE', 'BROOKLYN', {u'lat': 40.64006759999999, u'lng': -73.94736259999999}]
['646 FIFTH AVENUE', 'BROOKLYN', {u'lat': 40.6629625, u'lng': -73.99210570000001}]
['1426 FREEPORT LOOP', 'BROOKLYN', {u'lat': 40.6464708, u'lng': -73.88113179999999}]
['70 TOMPKINS AVENUE', 'BROOKLYN', {u'lat': 40.69712699999999, u'lng': -73.94666070000001}]
['383 STATE STREET', 'BROOKLYN', {u'lat': 40.687341, u'lng': -73.9833986}]
['3000 WEST 1 STREET', 'BROOKLYN', {u'lat': 40.577675, u'lng': -73.969865}]
['355 37 STREET', 'BROOKLYN', {u'lat': 40.6542388, u'lng': -74.00544930000001}]
['512 CARROLL STREET', 'BROOKLYN', {u'lat': 40.67651960000001, u'lng': -73.9854946}]
['185 ELLERY STREET', 'BROOKLYN', {u'lat': 40.6991403, u'lng': -73.9451498}]
['46 MCKEEVER PLACE', 'BROOKLYN', {u'lat': 40.6650015, u'lng': -73.9590369}]
['194 HARMAN STREET', 'BROOKLYN', {u'lat': 40.698048, u'lng': -73.92016600000001}]
['200 WOODBINE STREET', 'BROOKLYN', {u'lat': 40.6939871, u'lng': -73.9152859}]
['370 MARCY AVENUE', 'BROOKLYN', {u'lat': 40.7020826, u'lng': -73.95346769999999}]
['1599 EAST  22 STREET', 'BROOKLYN', {u'lat': 40.6111184, u'lng': -73.9516203}]
['911 FLATBUSH AVENUE', 'BROOKLYN', {u'lat': 40.6494997, u'lng': -73.95816169999999}]
['1300 GREENE AVENUE', 'BROOKLYN', {u'lat': 40.6976382, u'lng': -73.91953389999999}]
['242 COOPER STREET', 'BROOKLYN', {u'lat': 40.6903004, u'lng': -73.9048696}]
['125 STUYVESANT AVENUE', 'BROOKLYN', {u'lat': 40.6912889, u'lng': -73.9334089}]
['104 SUTTER AVENUE', 'BROOKLYN', {u'lat': 40.6659512, u'lng': -73.9181332}]
['1010 LAFAYETTE AVENUE', 'BROOKLYN', {u'lat': 40.6921294, u'lng': -73.9316656}]
['188 ROCHESTER AVENUE', 'BROOKLYN', {u'lat': 40.672706, u'lng': -73.9289299}]
['110 CHESTER STREET', 'BROOKLYN', {u'lat': 40.6689792, u'lng': -73.9115365}]
['490 FENIMORE STREET', 'BROOKLYN', {u'lat': 40.658658, u'lng': -73.946372}]
['60 EAST  94 STREET', 'BROOKLYN', {u'lat': 40.6643753, u'lng': -73.9278822}]
['2707 ALBERMARLE ROAD', 'BROOKLYN', {u'lat': 40.6480464, u'lng': -73.95154099999999}]
['400 IRVING AVENUE', 'BROOKLYN', {u'lat': 40.696834, u'lng': -73.91170079999999}]
['183 SOUTH  3 STREET', 'BROOKLYN', {u'lat': 40.7116813, u'lng': -73.9597817}]
['2839 BEDFORD AVENUE', 'BROOKLYN', {u'lat': 40.632889, u'lng': -73.952536}]
['911 FLATBUSH AVENUE', 'BROOKLYN', {u'lat': 40.6494997, u'lng': -73.95816169999999}]
['2057 LINDEN BOULEVARD', 'BROOKLYN', {u'lat': 40.661095, u'lng': -73.886661}]
['2800 OCEAN PARKWAY', 'BROOKLYN', {u'lat': 40.5823279, u'lng': -73.96814630000002}]
['300 WILLOUGHBY AVENUE', 'BROOKLYN', {u'lat': 40.69253459999999, u'lng': -73.9583036}]
['49 FLATBUSH AVENUE EXTENSION', 'BROOKLYN', {u'lat': 40.697313, u'lng': -73.9846925}]
['999 JAMAICA AVENUE', 'BROOKLYN', {u'lat': 40.69228, u'lng': -73.868927}]
['3787 BEDFORD AVENUE', 'BROOKLYN', {u'lat': 40.6096811, u'lng': -73.9484688}]
['284 BALTIC STREET', 'BROOKLYN', {u'lat': 40.6853525, u'lng': -73.9937249}]
['29 FT GREENE PLACE', 'BROOKLYN', {u'lat': 40.6888729, u'lng': -73.9764096}]
['49 FLATBUSH AVENUE EXTENSION', 'BROOKLYN', {u'lat': 40.697313, u'lng': -73.9846925}]
['317 HOYT STREET', 'BROOKLYN', {u'lat': 40.680147, u'lng': -73.99112699999999}]
['330 18 STREET', 'BROOKLYN', {u'lat': 40.6609886, u'lng': -73.9890264}]
['1601 80 STREET', 'BROOKLYN', {u'lat': 40.6134712, u'lng': -74.0037419}]
['345 DEAN STREET', 'BROOKLYN', {u'lat': 40.6838346, u'lng': -73.98035519999999}]
['610 HENRY STREET', 'BROOKLYN', {u'lat': 40.67943229999999, u'lng': -74.0019427}]
['325 BUSHWICK AVENUE', 'BROOKLYN', {u'lat': 40.70497599999999, u'lng': -73.938767}]
['1400 PENNSYLVANIA AVENUE', 'BROOKLYN', {u'lat': 40.6468388, u'lng': -73.881661}]
['223 GRAHAM AVENUE', 'BROOKLYN', {u'lat': 40.7103987, u'lng': -73.94397110000001}]
['1700 FULTON STREET', 'BROOKLYN', {u'lat': 40.67892270000001, u'lng': -73.9316585}]
['237 7 AVENUE', 'BROOKLYN', {u'lat': 40.6694296, u'lng': -73.9788092}]
['237 7 AVENUE', 'BROOKLYN', {u'lat': 40.6694296, u'lng': -73.9788092}]
['237 7 AVENUE', 'BROOKLYN', {u'lat': 40.6694296, u'lng': -73.9788092}]
